atlantis_pred_group,predator_stage,predator_taxa,year,atlantis_prey_group,taxa_prey,prey,predator_size,proportion,latitude,longitude,author,publication_yr,size_units,sample_source,variable,location
CO,juvenile,coho,2009,HE,herring,herring,1046,0,47.9337,-122.4762333,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,1046,0,47.9337,-122.4762333,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring,herring,1053.75,0,47.97605,-122.6271333,Ricker,2009,mm,stomachs,per_volume,NA
CO,juvenile,coho,2009,HE,herring.remains,herring.remains,1053.75,0,47.97605,-122.6271333,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,1606.5,0,47.33451667,-122.4081667,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,1606.5,0.005050505050505051,47.33451667,-122.4081667,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,876.75,0,47.3455,-122.5451,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,876.75,0,47.3455,-122.5451,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,864.6666666666666,0,47.36985,-122.3487,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,864.6666666666666,0,47.36985,-122.3487,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,1603,0,47.43543333,-122.3780333,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,1603,0,47.43543333,-122.3780333,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,1601,0,47.56091667,-122.42575,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,1601,0,47.56091667,-122.42575,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,1080,0,47.68143333,-122.7779667,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring.remains,herring.remains,1080,0,47.68143333,-122.7779667,Ricker,2009,mm,stomachs,per_volume,NA
COH,juvenile,coho,2009,HE,herring,herring,899.5,0,47.7008,-122.4313167,Ricker,2009,mm,stomachs,per_volume,NA
